YEAR,MONTH,BULK_COUNT,MIN_DATE_BULK,MAX_DATE_BULK,MIN_DAY_BULK,MAX_DAY_BULK,AVG_DAY_BULK,DURATION_DAYS_BULK,DURATION_HOURS_BULK,DURATION_MINUTES_BULK
2025,1,797,21-JAN-25 11.19.32.000000000 AM,21-JAN-25 11.20.13.000000000 AM,20.472,20.472,20.472,0,0,1
2025,2,605,18-FEB-25 03.32.47.000000000 PM,19-FEB-25 09.41.20.000000000 AM,17.648,18.404,18.402,0,18,1089
2025,3,610,17-MAR-25 11.59.24.000000000 AM,20-MAR-25 11.36.49.000000000 AM,16.5,19.484,19.466,2,23,4297
2025,4,846,22-APR-25 01.13.52.000000000 PM,22-APR-25 01.14.35.000000000 PM,21.551,21.552,21.552,0,0,1
2025,5,621,20-MAY-25 08.47.18.000000000 AM,20-MAY-25 08.47.57.000000000 AM,19.366,19.367,19.366,0,0,1
2025,6,605,18-JUN-25 08.50.02.000000000 AM,18-JUN-25 08.50.41.000000000 AM,17.368,17.369,17.368,0,0,1
2025,7,831,23-JUL-25 10.09.08.000000000 AM,23-JUL-25 10.21.17.000000000 AM,22.423,22.431,22.431,0,0,12
2025,8,853,13-AUG-25 11.17.36.000000000 AM,13-AUG-25 11.19.12.000000000 AM,12.471,12.472,12.471,0,0,2
2025,9,610,21-SEP-25 11.16.45.000000000 AM,23-SEP-25 08.21.39.000000000 AM,20.47,22.348,22.229,1,21,2705
2025,10,617,09-OCT-25 12.05.26.000000000 PM,22-OCT-25 10.57.38.000000000 AM,8.504,21.457,21.038,12,22,18652
